"Sample"	"feature"	"used"
"Assay"	"tunnel_upper_hydrophilic"	"FALSE"
"Assay"	"aa_m02"	"TRUE"
"Assay"	"aa_m01"	"TRUE"
"Assay"	"nt_m01"	"TRUE"
"Assay"	"nt_m02"	"TRUE"
"Assay"	"nt_m03"	"TRUE"
"Assay"	"nt_m04"	"TRUE"
"Assay"	"nt_m05"	"TRUE"
"Assay"	"nt_m06"	"TRUE"
"Assay"	"nt_m07"	"TRUE"
"Assay"	"nt_m08"	"TRUE"
"Assay"	"nt_m09"	"TRUE"
"Assay"	"nt_m10"	"FALSE"
"Assay"	"nt_m11"	"FALSE"
"Assay"	"nt_m12"	"FALSE"
"Assay"	"nt_m13"	"FALSE"
"Assay"	"nt_m14"	"FALSE"
"Assay"	"nt_m15"	"FALSE"
"Assay"	"nt_m16"	"FALSE"
"Assay"	"nt_m17"	"FALSE"
"Assay"	"nt_m18"	"FALSE"
"Assay"	"stop_codon"	"TRUE"
"Assay"	"nt_p04"	"TRUE"
"Assay"	"nt_p05"	"TRUE"
"Assay"	"nt_p06"	"TRUE"
"Assay"	"nt_p07"	"TRUE"
"Assay"	"nt_p08"	"TRUE"
"Assay"	"nt_p09"	"TRUE"
"Assay"	"nt_p10"	"TRUE"
"Assay"	"nt_p11"	"TRUE"
"Assay"	"nt_p12"	"TRUE"
"Assay"	"nt_p13"	"FALSE"
"Assay"	"nt_p14"	"FALSE"
"Assay"	"nt_p15"	"FALSE"
"Assay"	"nt_p16"	"FALSE"
"Assay"	"l_utr3"	"FALSE"
"Assay"	"random_factor"	"TRUE"
"Assay"	"random_num"	"TRUE"
